xml_id,div_type,chapter,text_preview,text_full,category_primary,category_secondary,cultural_markers,notes
p00001,front,,Possession A Romance,Possession A Romance,,,,
p00002,front,,A.S.,A.S.,,,,
p00003,front,,Byatt,Byatt,,,,
p00004,front,,"When a writer calls his work a Romance, it need hardly be observed that he wishes to claim a certain latitude, both as to its fashion and material, which he would not have felt himself entitled to assume, had he professed to be writing a Novel.","When a writer calls his work a Romance, it need hardly be observed that he wishes to claim a certain latitude, both as to its fashion and material, which he would not have felt himself entitled to assume, had he professed to be writing a Novel.",,,,
p00005,front,,"The latter form of composition is presumed to aim at a very minute fidelity, not merely to the possible, but to the probable and ordinary course of man’s experience.","The latter form of composition is presumed to aim at a very minute fidelity, not merely to the possible, but to the probable and ordinary course of man’s experience.",,,,
p00006,front,,"The former-while as a work of art, it must rigidly subject itself to laws, and while it sins unpardonably so far as it may swerve aside from the truth of the human heart-has fairly a right to present that truth under circumstances, to a great extent, of the writer’s own choosing or creation… .","The former-while as a work of art, it must rigidly subject itself to laws, and while it sins unpardonably so far as it may swerve aside from the truth of the human heart-has fairly a right to present that truth under circumstances, to a great extent, of the writer’s own choosing or creation… .",,,,
p00007,front,,The point of view in which this tale comes under the Romantic definition lies in the attempt to connect a bygone time with the very present that is flitting away from us.,The point of view in which this tale comes under the Romantic definition lies in the attempt to connect a bygone time with the very present that is flitting away from us.,,,,
p00008,front,,-NATHANIEL HAWTHORNE Preface to The House of the Seven Gable,-NATHANIEL HAWTHORNE Preface to The House of the Seven Gable,,,,
p00009,front,,"And if at whiles the bubble, blown too thin, Seem nigh on bursting,-if you nearly see The real world through the false,-what do you see?","And if at whiles the bubble, blown too thin, Seem nigh on bursting,-if you nearly see The real world through the false,-what do you see?",,,,
p00010,front,,Is the old so ruined?,Is the old so ruined?,,,,
p00011,front,,"You find you’re in a flock O’ the youthful, earnest, passionate-genius, beauty, Rank and wealth also, if you care for these: And all depose their natural rights, hail you, (That’s me, sir) as their mate and yoke-fellow, Participate in Sludgehood-nay, grow mine, I veritably possess them-…","You find you’re in a flock O’ the youthful, earnest, passionate-genius, beauty, Rank and wealth also, if you care for these: And all depose their natural rights, hail you, (That’s me, sir) as their mate and yoke-fellow, Participate in Sludgehood-nay, grow mine, I veritably possess them-…",,,,
p00012,front,,"And all this might be, may be, and with good help Of a little lying shall be: so Sludge lies!","And all this might be, may be, and with good help Of a little lying shall be: so Sludge lies!",,,,
p00013,front,,"Why, he’s at worst your poet who sings how Greeks That never were, in Troy which never was, Did this or the other impossible great thing! …","Why, he’s at worst your poet who sings how Greeks That never were, in Troy which never was, Did this or the other impossible great thing! …",,,,
p00014,front,,But why do I mount to poets?,But why do I mount to poets?,,,,
p00015,front,,"Take plain prose Dealers in common sense, set these at work, What can they do without their helpful lies?","Take plain prose Dealers in common sense, set these at work, What can they do without their helpful lies?",,,,
